video_id,video_title,video_published_at,video_view_count,video_like_count,video_duration_seconds,thread_id,thread_total_reply_count,comment_id,is_reply,author_hash,text,comment_like_count,comment_published_at,text_len_chars,text_len_words,has_question,upper_ratio,kw_price,kw_range,kw_charging,video_age_days_at_comment
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgxxteJ95GR3TJnsyY54AaABAg,0,UgxxteJ95GR3TJnsyY54AaABAg,0,20aed5c957f006a1040657b763b8dbfbee723dbf3b65e10ce40ed63200e06a06,I cant wait until these are 15k used.,0,2025-06-17 20:17:28+00:00,37,8,0,0.037037037037037035,0,0,0,383.1787962962963
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,Ugwk8i6TZzQ6R7J-1qx4AaABAg,0,Ugwk8i6TZzQ6R7J-1qx4AaABAg,0,98719308b065bf1423cc7e741adedb33148c0b860da597a7c582317aec418160,Interior looks lame,0,2025-05-18 18:34:03+00:00,19,3,0,0.058823529411764705,0,0,0,353.1069791666667
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgzSPoNM9jSPbTQX3LZ4AaABAg,0,UgzSPoNM9jSPbTQX3LZ4AaABAg,0,99550cd26045de3f3ab7c0df5bc66bc75874f3486bad6ae9f73c94c9f7f831e1,I love that it looks like a regular suv and not outlandish or attention seeking like a cybertruck,0,2025-04-15 23:10:37+00:00,97,18,0,0.0125,0,0,0,320.29903935185183
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgxAFQ5dqVQDgUPE5bd4AaABAg,0,UgxAFQ5dqVQDgUPE5bd4AaABAg,0,352b5fd8144068bfa0a14821453d38b8483b5fd887379310f244477636609784,Do people actually care about a front trunk? my car has one and I have used it all of zero times in 2 years.,2,2025-03-24 19:33:21+00:00,108,24,1,0.024390243902439025,0,0,0,298.1481597222222
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,Ugy87uGZGhOl3dq-zy54AaABAg,0,Ugy87uGZGhOl3dq-zy54AaABAg,0,936a19dbf30cdf0d08959a7bd9853a14330f4b4e00bebc3ec49db489e2b18f54,That rear seat release anchor will definitely make someone bleed. ??,0,2025-03-16 18:01:41+00:00,67,11,0,0.01818181818181818,0,0,0,290.0845023148148
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,Ugw9X5IjfZ8nRuRupCx4AaABAg,0,Ugw9X5IjfZ8nRuRupCx4AaABAg,0,9a1316ccd21b41f139522c0c23adaf68d04d51d2b3ee5201607bd51aaf5eb7ab,Here: No Apple Carplay or Android Auto. I saved you 28 minutes of your life.,0,2025-03-15 02:51:04+00:00,76,15,0,0.12280701754385964,0,0,0,288.4521296296296
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgwM2oyQY8co_DsF-t54AaABAg,0,UgwM2oyQY8co_DsF-t54AaABAg,0,49501680ea7687563b01c787f111c5045fe0e0736a3e6c216eb31ad6d850383e,"Honestly, chevy equinox ev is the best looking suv on the road after rivian r1s ...",0,2025-01-25 19:11:44+00:00,83,16,0,0.015873015873015872,0,0,0,240.13314814814814
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,Ugx01BTFAcpJj1mtDEN4AaABAg,0,Ugx01BTFAcpJj1mtDEN4AaABAg,0,61822549d5803b4af842774d0985b11c369ba77f5a2bbf119fafbfc789480812,The door sounded tingy. He said it had a relatively good thunk. It didn't. It rattled,0,2024-12-28 05:48:57+00:00,85,16,0,0.06060606060606061,0,0,0,211.5756597222222
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgyXa9sp0_aJEQ1HuLV4AaABAg,0,UgyXa9sp0_aJEQ1HuLV4AaABAg,0,61822549d5803b4af842774d0985b11c369ba77f5a2bbf119fafbfc789480812,It's slow,0,2024-12-28 05:45:40+00:00,9,2,0,0.14285714285714285,0,0,0,211.57337962962964
-1AmUBWRuLQ,The 2024 Chevrolet Equinox EV Is A Right Sized & Priced Electric SUV For The Masses,2024-05-30 16:00:00+00:00,109462,1909.0,1728,UgxpQ5RuDRNLAh9ROXB4AaABAg,0,UgxpQ5RuDRNLAh9ROXB4AaABAg,0,eb2418e5c375da774562177b6bcb21810362f7544801cb730e6b971f917a797e,"The Chevrolet Equinox EV impresses with affordability and range. Toyota bZ4X combines reliability, efficiency, and environmental friendliness, setting a high standard in the electric SUV market.",0,2024-12-24 09:19:22+00:00,194,26,0,0.06748466257668712,0,1,0,207.7217824074074
